State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.51627	3.50829	3.47833	3.37251	3.37850	3.34655	3.30462	3.29863	3.15885	2.99113	2.92524	2.86334	2.85136	2.84137	2.86933	2.90926	2.85136	2.84137	2.80343	2.86533	2.84337
2	1.63239	1.52252	1.52925	1.61445	1.60773	1.54270	1.60548	1.61221	1.76917	1.82747	1.76469	1.86783	1.84765	1.80953	1.86111	1.93959	2.02479	2.04722	1.97546	1.90371	1.97098
3	0.91913	0.90228	0.92394	0.90950	0.89507	0.89507	0.84213	0.87582	0.89747	0.87341	0.84213	0.79882	0.82529	0.78439	0.78198	0.75551	0.75551	0.76273	0.78679	0.77476	0.81566
4	0.94371	0.91948	0.90433	0.90433	0.88918	0.92705	0.89979	0.87858	0.88464	0.91190	0.98764	1.01794	1.05429	1.11034	1.13155	1.13609	1.13609	1.12549	1.13458	1.14518	1.12852
5	4.42138	4.56688	4.59651	4.64232	4.63423	4.57765	4.64501	4.60460	4.52377	4.35402	4.16812	3.96604	3.72625	3.56728	3.40562	3.22510	3.07422	2.91256	2.88562	2.79671	2.72935
6	1.92351	1.92796	1.93185	1.91684	1.93797	1.94909	1.95909	1.96688	1.99078	2.06138	2.16701	2.26485	2.38716	2.50835	2.57673	2.64622	2.71182	2.74573	2.78187	2.78020	2.76630
7	4.31653	4.35297	4.36511	4.40074	4.38940	4.36997	4.35216	4.32139	4.27119	4.17726	4.02666	3.84771	3.63476	3.42748	3.25420	3.10278	2.93518	2.80238	2.64692	2.55300	2.45259
8	1.50918	1.49598	1.48058	1.48718	1.46958	1.45638	1.50038	1.51798	1.47398	1.47618	1.43658	1.41459	1.41459	1.42558	1.42118	1.42338	1.41898	1.44758	1.44538	1.44098	1.44098
9	0.55185	0.55006	0.54946	0.54812	0.54955	0.55121	0.54996	0.54987	0.55153	0.55669	0.56352	0.56803	0.57407	0.57868	0.58481	0.58938	0.59468	0.60201	0.61086	0.61893	0.62547
10	1.96767	1.98134	1.98134	1.99403	1.96670	1.98134	1.99988	2.03209	2.05161	2.04088	2.00086	2.01550	1.99695	1.99110	1.96182	1.94425	1.96670	1.95694	1.93839	1.91692	1.92375
