State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.60999	5.25673	6.15017	7.67803	9.97773	13.02639	17.17820	22.18292	26.41579	28.11987	28.82652	30.23102	29.56313	28.01237	25.44481	21.67893	17.15352	13.31187	10.62800	8.59086	7.16346
2	2.92883	3.28503	3.93412	4.67820	5.25210	6.05950	6.03575	4.81475	3.53240	3.67686	3.71446	2.09767	1.78896	1.96706	2.68146	3.33847	3.41960	2.94268	2.44794	2.19068	1.90572
3	2.26789	2.25515	2.12561	1.93450	1.60536	1.17217	0.95557	0.79206	0.71137	0.66465	0.63917	0.59033	0.63068	0.70500	0.92372	1.75188	3.23832	4.68442	5.50197	6.00523	6.19847
4	2.05478	1.91842	1.75799	1.44918	1.13635	0.88234	0.68983	0.56951	0.45454	0.41978	0.39839	0.40641	0.44652	0.47459	0.61229	0.99865	1.79275	2.61360	3.35289	3.94111	4.33282
5	1.19369	1.07955	0.95828	0.83463	0.77994	0.73001	0.74427	0.73001	0.73952	0.77756	0.87268	0.92737	0.89170	0.94164	0.91786	0.95590	1.02011	1.18418	1.49093	1.80956	2.18051
6	1.51900	1.49349	1.42137	1.33502	1.19568	0.99697	0.79777	0.63194	0.51958	0.46905	0.43078	0.42783	0.44746	0.47542	0.53577	0.70112	0.95919	1.18292	1.33551	1.42039	1.48024
7	0.54381	0.50380	0.46592	0.42662	0.39803	0.36945	0.35301	0.34730	0.35945	0.36445	0.38160	0.40304	0.41947	0.43519	0.44591	0.45091	0.45806	0.47593	0.51309	0.56597	0.65029
8	0.84071	0.81353	0.80964	0.79799	0.77469	0.72810	0.68926	0.63490	0.58636	0.56889	0.60966	0.61354	0.61354	0.62907	0.65626	0.69315	0.72033	0.74557	0.77469	0.79217	0.82906
9	0.62244	0.60397	0.58057	0.55144	0.51670	0.46946	0.41584	0.37105	0.33801	0.32035	0.31156	0.31323	0.32088	0.32942	0.34163	0.35713	0.37369	0.39057	0.40392	0.41621	0.42711
10	4.83500	4.99436	5.14424	5.21573	5.22176	5.14165	4.85137	4.35606	3.85215	3.44816	3.29052	3.24487	3.46022	3.81856	4.20446	4.51973	4.73422	4.86170	4.86170	4.79021	4.69287
