State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.75116	32.89023	5.54163	1.54745	2.92554	28.82565	15.51655	0.31602
2	1.55940	1.96643	1.51685	1.07998	1.76487	3.71458	3.44002	0.49801
3	1.45324	0.36878	0.83429	2.25010	0.84222	0.63919	1.91900	0.13931
4	2.30832	0.31381	0.71166	2.19896	0.98775	0.39840	1.33001	0.22381
5	1.29778	1.17834	5.04998	2.26470	4.16855	0.87271	1.01138	0.18442
6	6.28970	0.32565	1.81109	1.92600	2.16724	0.43079	0.94953	0.40749
7	4.31840	0.48409	4.95565	2.21953	4.02465	0.38161	0.48757	0.29781
8	1.58939	0.99135	1.48470	0.72184	1.43674	0.60968	0.69006	0.81283
9	75.85011	0.11715	0.48220	0.76281	0.56358	0.31157	0.45916	1.18204
10	3.58250	6.12637	1.89678	1.00934	2.00107	3.29062	4.54712	0.81301
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
