State (Emission order)	H3k36me3	H4k20me1	H3k79me2	H3k27ac	H3k04me2	H2az	H3k09ac	H3k04me3	H3k27me3	H3k09me3
1	0.01598549418126347	0.11243896035914956	0.37029964478715555	0.6849496890622097	0.9979457250276285	0.571091084465286	0.5759269663396694	0.9475682733958539	0.12839636151870681	0.007893605899148753
2	0.006188381723502217	0.012563143608879081	0.04996180481472157	0.4989224930729856	0.3907889538991617	0.22083175317466658	0.1305216290357898	0.13786871848733218	0.004931006099776084	0.0026226265841516514
3	0.1301591321427053	0.6298631763434487	0.9305953418894726	0.3006672931573721	0.13273864122336565	0.003302278925066134	0.0733064150389881	0.0388713695844124	0.003031929580990646	0.0010127771761281326
4	0.044951944311339066	0.2722744245718871	0.3803064616728778	0.03276694956709504	0.00229431936157327	0.0014372861590233126	0.03754843536429127	1.6975647826518686E-4	0.005215583913213955	0.0037313138773645126
5	0.8593274717346713	0.60250040552266	0.41696677671644605	0.16311718857356253	0.00402110896666135	2.463505618512221E-4	0.0462825533348403	0.0017875329225375727	0.005347916850352442	0.008576075345525878
6	0.05016170754622312	0.02283537132592093	0.019827587420070292	0.008659274253988103	2.3006128644895697E-4	0.0017701337742668428	0.033223956976693614	1.3495819087070985E-5	8.615986220240361E-4	6.163210746510983E-4
7	0.746115924733407	0.05302484552629813	0.024631829449210305	0.03193396654607445	1.411741938815727E-4	3.355587450993405E-4	0.03866465815225176	7.671593024349104E-5	0.0017747462303769573	0.004521919787513056
8	0.05738445590106043	0.002401291637062253	0.009271363299847414	0.001735683989032173	5.059905308236807E-4	0.0014459015586854437	0.006928727601039392	0.045479860736841723	0.0021201456323781107	0.48558864643756583
9	8.559568943155003E-5	0.0013690067197217252	7.337434065070176E-4	5.846191920779057E-5	1.2190380999061279E-4	0.006210793797614766	0.017519324525316488	7.160810105552815E-6	0.006292672320202001	0.005020125436674001
10	0.0019949580026655898	0.011349630837928252	0.002790646888503118	4.994685568093876E-4	0.031097551578727622	0.025062454080303945	0.03507329667160781	0.002911343322755666	0.6802542469925943	0.02882387378720658
